Id,Province,Zone,CountVoter,CountRealVoter
e5d2559f-99d4-4ed8-8793-7c9b3a519705,กรุงเทพมหานคร,1,126247,81257
8ccb3951-40d0-4c71-9cc0-d0c36f267af7,กรุงเทพมหานคร,2,131102,86701
5f73dab3-7835-4e51-942f-5b9b9321f4d6,กรุงเทพมหานคร,3,131087,86067
b2e89496-cc24-4a1a-8d5d-27ab1b09de44,กรุงเทพมหานคร,4,132196,82412
b3fcede3-2cfe-4657-b993-7b67a52343e7,กรุงเทพมหานคร,5,164107,112195
33917795-d76f-456c-8293-97954e0fad05,กรุงเทพมหานคร,6,150461,103879
0d64ba3b-16c2-4e12-a5ce-abc30e905990,กรุงเทพมหานคร,7,148662,98926
3e054c60-7455-4c02-a795-6608ed32797c,กรุงเทพมหานคร,8,151758,108656
a5dc774f-3a47-49dc-ac15-d79def57b524,กรุงเทพมหานคร,9,171511,122755
4ca99427-a6ed-4a90-b608-28f0213de10e,กรุงเทพมหานคร,10,137079,94390
59d213f4-2c1a-4318-8e16-87b487865ebf,กรุงเทพมหานคร,11,161370,113408
4a20cb25-3ada-47aa-a2a3-bb056014c0cb,กรุงเทพมหานคร,12,156673,111915
ea14ffca-ff57-4172-ba73-93d3eff713e7,กรุงเทพมหานคร,13,153177,105238
dba6c5f9-aafe-41fa-80d0-60885458f135,กรุงเทพมหานคร,14,156137,111851
14c0a06e-244e-477c-bed3-a036991a1817,กรุงเทพมหานคร,15,139617,100447
de173f71-24c6-47cb-9858-4649404404e5,กรุงเทพมหานคร,16,153030,109716
e599f6da-871e-4268-bb75-64dff9f456de,กรุงเทพมหานคร,17,130687,91328
c825d7f0-3233-41b3-9f2e-682405198534,กรุงเทพมหานคร,18,136455,95025
d8ba352d-cc3b-4df2-9712-911b676e787d,กรุงเทพมหานคร,19,141466,101127
b2c22594-36d7-4786-afb9-ebdb6d514a00,กรุงเทพมหานคร,20,168864,113991
a933c0c3-445b-40ed-8ad9-a3b292367468,กรุงเทพมหานคร,21,147374,98968
2fcf0b32-5360-45b0-b9e8-7c9b2288893a,กรุงเทพมหานคร,22,160203,104543
22907564-cd01-424f-ab7a-a2e49b83fc24,กรุงเทพมหานคร,23,162788,109507
1f0b7246-44a1-4311-bd5e-79e65face7d4,กรุงเทพมหานคร,24,162426,110156
06e5529f-56da-4793-a89d-1f1c2bfa4f1e,กรุงเทพมหานคร,25,141373,97440
ca90ac7f-38a6-4557-a5b9-d13402e5cf0b,กรุงเทพมหานคร,26,145330,105302
be6c37e4-0d31-432e-bb19-f63d90f33996,กรุงเทพมหานคร,27,166377,120513
b8d92577-c40d-4280-8691-f5232c8e4619,กรุงเทพมหานคร,28,157528,109129
024a0160-4fc5-47a6-aaaa-9f74343dc2f5,กรุงเทพมหานคร,29,147799,103287
3669bf52-8494-4fb3-9f33-8215d55724de,กรุงเทพมหานคร,30,167305,112151
2169bb71-f378-4fa3-9e7b-901cc2181a40,สมุทรปราการ,1,124673,90691
7ea18c94-7be1-4eb7-a075-70a36fbb983d,สมุทรปราการ,2,156778,114477
fc9bda82-096a-43df-8134-945d4e22a3ff,สมุทรปราการ,3,141830,98854
0d465f9e-19f6-4a9c-aa93-bd660416cf5e,สมุทรปราการ,4,171754,125723
0e0de930-c04b-4915-9055-ebb7d1e0b5c0,สมุทรปราการ,5,173036,122662
8cdd0dc3-4c2e-43da-98e6-6a001b07e565,สมุทรปราการ,6,137774,98799
942c1b2e-3541-4b15-844a-c914c45f0f4f,สมุทรปราการ,7,128100,91574
dd82c619-aa0e-4402-ad3c-2cbf8d83aef2,นนทบุรี,1,172586,125052
0bff6893-544c-4e6e-8fac-bc91ec9cbb84,นนทบุรี,2,157760,109147
dc4cea62-bde2-4dc3-b2ca-7c079b74683c,นนทบุรี,3,170587,125491
fb99f9db-f515-468f-ab50-ea50d5716079,นนทบุรี,4,165934,118656
1c9cc0e1-abe0-48f3-8515-f1e0f4d2306b,นนทบุรี,5,175781,129193
fc2cf929-0365-4469-b83a-ec761953f192,นนทบุรี,6,159096,114482
566daaf1-c7ad-4d09-866f-464d64f7d28d,ปทุมธานี,1,148767,108557
41f4887c-e4bb-4beb-8daa-f30bf471ae4a,ปทุมธานี,2,154349,111880
c6f49bcc-443b-4c1c-bf8f-4f2a1eb2d1f7,ปทุมธานี,3,138628,98417
c96082d0-7780-43f4-8357-8348ac340046,ปทุมธานี,4,153628,109868
91d34824-8141-4823-a34e-82ecbef9f2ae,ปทุมธานี,5,156094,108359
