Id,Province,Zone,Score,CountAuthority,PercentScore,PartyWin,Region
d4323ad1-1c85-4085-9214-6e9c30a558a7,กรุงเทพมหานคร,1,81257,126247,64.3635096279516,พลังประชารัฐ,Bkk
b8cbfab7-7e93-467c-bb49-f548d7606159,กรุงเทพมหานคร,2,86701,131102,66.1324770026392,พลังประชารัฐ,Bkk
449736d9-0d3f-461a-9179-5f68108fc42d,กรุงเทพมหานคร,3,86067,131087,65.6563961338653,อนาคตใหม่,Bkk
ec9e219d-2bb8-4ae5-adcf-a5831de0a1ef,กรุงเทพมหานคร,4,82412,132196,62.3407667402947,พลังประชารัฐ,Bkk
2b7187c9-2ea5-4d13-93d5-8f0554b5f561,กรุงเทพมหานคร,5,112195,164107,68.3669800800697,เพื่อไทย,Bkk
5a200917-8aa3-4d13-98dd-8a5c75d7636d,กรุงเทพมหานคร,6,103879,150461,69.0404822512146,พลังประชารัฐ,Bkk
740d8223-119d-4c34-942f-71a1abe313f4,กรุงเทพมหานคร,7,98926,148662,66.5442412990542,พลังประชารัฐ,Bkk
b79dc41f-12be-49d3-8f7e-68fcc10799d7,กรุงเทพมหานคร,8,108656,151758,71.5982024011914,พลังประชารัฐ,Bkk
52dd37a5-3fe0-43fa-848e-8bc14f08681d,กรุงเทพมหานคร,9,122755,171511,71.5726688084146,พลังประชารัฐ,Bkk
2e6d8ebb-d991-47c7-bf21-edddaf6d120d,กรุงเทพมหานคร,10,94390,137079,68.8581037212119,เพื่อไทย,Bkk
bf523c65-504e-4975-9dd7-a053cd455cd1,กรุงเทพมหานคร,11,113408,161370,70.2782425481812,เพื่อไทย,Bkk
87c5a9f0-4bcb-410b-bc02-7ea37a596132,กรุงเทพมหานคร,12,111915,156673,71.432218697542,เพื่อไทย,Bkk
edff263d-703d-4130-ae7c-9d5db80894eb,กรุงเทพมหานคร,13,105238,153177,68.7035259862773,พลังประชารัฐ,Bkk
9774093c-a6ad-4f72-ba5e-ed7f1a531f5a,กรุงเทพมหานคร,14,111851,156137,71.6364474788167,เพื่อไทย,Bkk
2d1e2468-8bf2-40b2-9501-d49f4bfeaff8,กรุงเทพมหานคร,15,100447,139617,71.9446772241203,พลังประชารัฐ,Bkk
e6e32972-3867-4d61-bc6d-5e380e6c9b2b,กรุงเทพมหานคร,16,109716,153030,71.6957459321702,เพื่อไทย,Bkk
7ad4d093-14ac-4bf3-a012-cda98060a81c,กรุงเทพมหานคร,17,91328,130687,69.8830029000589,พลังประชารัฐ,Bkk
5a57c841-0e0e-45ca-8991-7a7f302c00d8,กรุงเทพมหานคร,18,95025,136455,69.6383423106519,เพื่อไทย,Bkk
43019879-b64e-4720-9582-ddc09833c4f1,กรุงเทพมหานคร,19,101127,141466,71.4850211358206,พลังประชารัฐ,Bkk
db403be9-b518-4dac-9cec-3a4a20ae6378,กรุงเทพมหานคร,20,113991,168864,67.5046191017624,อนาคตใหม่,Bkk
8f6cb9b2-d93c-45a0-a09e-188f3c282654,กรุงเทพมหานคร,21,98968,147374,67.1543148723655,อนาคตใหม่,Bkk
3710c05c-1ec0-4e2b-9a43-7f32f8e86b3e,กรุงเทพมหานคร,22,104543,160203,65.2565807132201,อนาคตใหม่,Bkk
b916c3e2-b542-465f-9d61-ef4b8fb222e8,กรุงเทพมหานคร,23,109507,162788,67.2697004693221,อนาคตใหม่,Bkk
