Province,Zone,Party,FirstName,LastName,24-1745,24-2233,25-0759,25-0952,25-1111
กรุงเทพมหานคร,1,พลังประชารัฐ,กานต์กนิษฐ์,แห้วสันตติ,0,22371,21892,21892,21892
กรุงเทพมหานคร,1,อนาคตใหม่,นพมาศ,การุญ,0,16660,17152,17152,17152
กรุงเทพมหานคร,1,เพื่อไทย,ลีลาวดี,วัชโรบล,0,15064,15349,15349,15349
กรุงเทพมหานคร,1,ประชาธิปัตย์,เจิมมาศ,จึงเลิศศิริ,0,13655,13498,13498,13498
กรุงเทพมหานคร,1,เศรษฐกิจใหม่,มงคล,เสมอภาพ,0,4377,4227,4227,4227
กรุงเทพมหานคร,1,เสรีรวมไทย,วัชราภรณ์,สังวรโยธิน,0,1571,1603,1603,1603
กรุงเทพมหานคร,1,ภูมิใจไทย,ทวีพร,อนุตรพงษ์สกุล,0,733,758,758,758
กรุงเทพมหานคร,1,รวมพลังประชาชาติไทย,เตช,เตชะพัฒน์สิริ,0,511,510,510,510
กรุงเทพมหานคร,1,พลังท้องถิ่นไท,ธเนษฐ,เศรษฐาวาณิช,0,411,410,410,410
กรุงเทพมหานคร,1,รักษ์ผืนป่าประเทศไทย,กอบชัย,ชยามฤต,0,284,290,290,290
กรุงเทพมหานคร,1,ประชาชนปฏิรูป,ดรัณภัทร,วิชชาวุธ,0,262,253,253,253
กรุงเทพมหานคร,1,ไทยศรีวิไลย์,ณัฐปภัสร์,วรธันย์ผาสุข,0,210,214,214,214
กรุงเทพมหานคร,1,ชาติไทยพัฒนา,กรีณรงค์,ชาตรี,0,194,201,201,201
กรุงเทพมหานคร,1,เพื่อชาติ,ณัฏฐ์พงษ์,ยงใจยุทธ,0,160,157,157,157
กรุงเทพมหานคร,1,ประชาชาติ,รวิโชติ,ธำรงนาวาสวัสดิ์,0,89,87,87,87
กรุงเทพมหานคร,1,ภราดรภาพ,ณัฐพล,หวังชูเชิดกุล,0,60,62,62,62
กรุงเทพมหานคร,1,ประชาภิวัฒน์,ธนชาต,เมฆวันวรา,0,49,53,53,53
กรุงเทพมหานคร,1,ถิ่นกาขาวชาววิไล,เรียบ,ประทุมฝาง,0,33,36,36,36
กรุงเทพมหานคร,1,แผ่นดินธรรม,พิพัฒน์,วงษ์ฤทธิ์,0,33,34,34,34
กรุงเทพมหานคร,1,เพื่อแผ่นดิน,วิเชียร,โมไนยกุล,0,30,32,32,32
กรุงเทพมหานคร,1,พลังชาติไทย,หฤษฎ์,หนูเอี่ยม,0,27,26,26,26
กรุงเทพมหานคร,1,มหาชน,พัทธ์ฐิชา,ณิชยรวีพัชร์,0,23,24,24,24
กรุงเทพมหานคร,1,ไทรักธรรม,ภฤศ,วัฒนธาดากุล,0,22,23,23,23
กรุงเทพมหานคร,1,ครูไทยเพื่อประชาชน,พงศ์ชิษณุ,พีรดาจิราวัฒน์,0,22,24,24,24
กรุงเทพมหานคร,1,ประชาธรรมไทย,หนึ่งฤทัย,หัสดิน,0,20,21,21,21
กรุงเทพมหานคร,1,ภาคีเครือข่ายไทย,อรุณรัตน์,ศิลปธรรมธาดา,0,19,20,20,20
กรุงเทพมหานคร,1,ประชานิยม,วิสุดา,จงสกุลชัย,0,19,22,22,22
กรุงเทพมหานคร,1,มติประชา,วัลลี,แอสุวรรณ์,0,17,18,18,18
กรุงเทพมหานคร,1,พลังศรัทธา,กันญภัทร,นครังสุ,0,15,14,14,14
กรุงเทพมหานคร,2,พลังประชารัฐ,พัชรินทร์,ซำศิริพงษ์,0,25996,25774,25774,25774
กรุงเทพมหานคร,2,อนาคตใหม่,พัสวี,ภัทรพุทธากร,0,24882,25268,25268,25268
กรุงเทพมหานคร,2,ประชาธิปัตย์,อรอนงค์,กาญจนชูศักดิ์,0,15406,15770,15770,15770
กรุงเทพมหานคร,2,เศรษฐกิจใหม่,ชัยวัฒน์,ชื่นสุขสันต์,0,5420,5427,5427,5427
กรุงเทพมหานคร,2,เสรีรวมไทย,ชัญญา,บุญเกิด,0,3283,3209,3209,3209
กรุงเทพมหานคร,2,ภูมิใจไทย,อุไร,อนันตสิน,0,2872,2725,2725,2725
กรุงเทพมหานคร,2,เพื่อชาติ,ภัทรกันย์,กิจวิชา,0,2050,2020,2020,2020
กรุงเทพมหานคร,2,รวมพลังประชาชาติไทย,ณัฏฐพัชร์,กวินกนกกัลป์,0,963,979,979,979
กรุงเทพมหานคร,2,รักษ์ผืนป่าประเทศไทย,สิริมา,ธารีจารุ,0,223,237,237,237
กรุงเทพมหานคร,2,ประชาชนปฏิรูป,นิธินันท์,นิธิวชิระพงศ์,0,183,193,193,193
กรุงเทพมหานคร,2,ชาติพัฒนา,ปุณฐ์นัฐย์ดา,อิสริยาพร,0,180,173,173,173
กรุงเทพมหานคร,2,ประชาชาติ,พิมพาภรณ์,พานทอง,0,155,155,155,155
กรุงเทพมหานคร,2,ชาติไทยพัฒนา,ศิรภัสสร,พิเนตร,0,147,145,145,145
กรุงเทพมหานคร,2,พลังท้องถิ่นไท,เพ็ญลดา,ครุธโกษา,0,102,100,100,100
